epoch;rtt;cp
2016-10-17 15:56:41;177.50678;0
2016-10-17 16:00:44;177.46178;0
2016-10-17 16:04:42;177.548985;0
2016-10-17 16:08:44;177.5759;0
2016-10-17 16:12:43;177.44033;0
2016-10-17 16:16:41;177.519055;0
2016-10-17 16:20:44;177.558115;0
2016-10-17 16:24:42;177.39076;0
2016-10-17 16:28:43;177.440985;0
2016-10-17 16:32:43;177.539165;0
2016-10-17 16:36:43;177.594535;0
2016-10-17 16:40:41;177.47537;0
2016-10-17 16:44:43;177.560895;0
2016-10-17 16:48:43;177.563605;0
2016-10-17 16:52:43;177.55541;0
2016-10-17 16:56:44;177.62717;0
2016-10-17 17:00:42;177.523665;0
2016-10-17 17:04:42;177.64841;0
2016-10-17 17:08:44;177.53508;0
2016-10-17 17:12:42;177.62449;0
2016-10-17 17:16:44;177.7489;0
2016-10-17 17:20:44;177.554265;0
2016-10-17 17:24:44;177.589225;0
2016-10-17 17:28:41;178.93355;0
2016-10-17 17:32:43;177.488155;0
2016-10-17 17:36:44;177.528915;0
2016-10-17 17:40:44;177.66809;0
2016-10-17 17:44:42;177.610615;0
2016-10-17 17:48:43;177.49107;0
2016-10-17 17:52:42;177.590055;0
2016-10-17 17:56:44;177.46322;0
2016-10-17 18:00:44;177.447005;0
2016-10-17 18:04:42;177.84527;0
2016-10-17 18:08:41;177.60564;0
2016-10-17 18:12:41;177.624645;0
2016-10-17 18:16:41;177.47577;0
2016-10-17 18:20:42;177.61518;0
2016-10-17 18:24:43;177.473735;0
2016-10-17 18:28:43;177.69853;0
2016-10-17 18:32:44;177.618045;0
2016-10-17 18:36:44;177.462125;0
2016-10-17 18:40:43;177.691185;0
2016-10-17 18:44:42;177.51418;0
2016-10-17 18:48:41;177.64008;0
2016-10-17 18:52:43;177.61276;0
2016-10-17 18:56:41;177.51718;0
2016-10-17 19:00:43;177.95139;0
2016-10-17 19:04:43;177.80015;0
2016-10-17 19:08:44;177.47962;0
2016-10-17 19:12:43;177.489315;0
2016-10-17 19:16:42;177.641505;0
2016-10-17 19:20:41;177.608425;0
2016-10-17 19:24:43;177.584175;0
2016-10-17 19:28:41;177.71078;0
2016-10-17 19:32:41;177.541855;0
2016-10-17 19:36:41;177.570135;0
2016-10-17 19:40:43;177.644665;0
2016-10-17 19:44:42;177.618965;0
2016-10-17 19:48:44;178.186235;0
2016-10-17 19:52:41;177.524045;0
2016-10-17 19:56:43;177.6286;0
2016-10-17 20:00:44;177.813935;0
2016-10-17 20:04:43;177.84536;0
2016-10-17 20:08:41;177.53926;0
2016-10-17 20:12:42;178.124205;0
2016-10-17 20:16:41;177.559405;0
2016-10-17 20:20:44;177.66947;0
2016-10-17 20:24:44;177.86152;0
2016-10-17 20:28:43;177.787585;0
2016-10-17 20:32:41;177.538365;0
2016-10-17 20:36:42;177.674515;0
2016-10-17 20:40:42;177.72549;0
2016-10-17 20:44:43;177.531695;0
2016-10-17 20:48:43;177.49262;0
2016-10-17 20:52:41;177.83372;0
2016-10-17 20:56:42;177.76771;0
2016-10-17 21:00:44;177.32458;0
2016-10-17 21:04:43;177.79767;0
2016-10-17 21:08:43;177.594625;0
2016-10-17 21:12:43;177.658605;0
2016-10-17 21:16:42;177.566475;0
2016-10-17 21:20:43;179.42225;0
2016-10-17 21:24:44;177.640825;0
2016-10-17 21:28:43;177.923395;0
2016-10-17 21:32:43;177.681125;0
2016-10-17 21:36:44;177.80741;0
2016-10-17 21:40:43;177.60014;0
2016-10-17 21:44:42;177.84367;0
2016-10-17 21:48:42;177.720695;0
2016-10-17 21:52:41;177.74108;0
2016-10-17 21:56:44;177.603015;0
2016-10-17 22:00:42;177.57364;0
2016-10-17 22:04:43;177.61861;0
2016-10-17 22:08:42;177.737915;0
2016-10-17 22:12:41;177.617455;0
2016-10-17 22:16:42;177.62123;0
2016-10-17 22:20:42;177.569635;0
2016-10-17 22:24:43;177.498785;0
2016-10-17 22:28:42;177.74401;0
2016-10-17 22:32:42;177.789325;0
2016-10-17 22:36:44;177.489895;0
2016-10-17 22:40:44;177.44626;0
2016-10-17 22:44:44;177.44186;0
2016-10-17 22:48:41;177.51619;0
2016-10-17 22:52:43;177.760815;0
2016-10-17 22:56:43;177.59986;0
2016-10-17 23:00:43;180.496735;0
2016-10-17 23:04:43;178.04462;0
2016-10-17 23:08:43;177.579755;0
2016-10-17 23:12:42;177.490845;0
2016-10-17 23:16:44;177.543665;0
2016-10-17 23:20:44;177.70052;0
2016-10-17 23:24:44;177.58477;0
2016-10-17 23:28:43;177.72886;0
2016-10-17 23:32:42;177.503745;0
2016-10-17 23:36:41;177.762435;0
2016-10-17 23:40:42;177.572075;0
2016-10-17 23:44:43;177.471885;0
2016-10-17 23:48:42;177.48435;0
2016-10-17 23:52:42;177.566115;0
2016-10-17 23:56:43;177.54623;0
2016-10-18 00:00:43;177.431565;0
2016-10-18 00:04:41;177.434605;0
2016-10-18 00:08:41;177.55019;0
2016-10-18 00:12:44;177.57162;0
2016-10-18 00:16:41;177.590435;0
2016-10-18 00:20:42;177.55876;0
2016-10-18 00:24:44;177.497815;0
2016-10-18 00:28:42;177.59573;0
2016-10-18 00:32:44;177.578845;0
2016-10-18 00:36:42;177.56752;0
2016-10-18 00:40:42;177.438585;0
2016-10-18 00:44:43;177.466035;0
2016-10-18 00:48:41;177.87308;0
2016-10-18 00:52:42;177.60021;0
2016-10-18 00:56:41;177.439265;0
2016-10-18 01:00:41;177.479445;0
2016-10-18 01:04:42;177.545395;0
2016-10-18 01:08:41;177.55413;0
2016-10-18 01:12:41;177.600855;0
2016-10-18 01:16:44;177.44757;0
2016-10-18 01:20:42;177.51189;0
2016-10-18 01:24:43;177.49819;0
2016-10-18 01:28:42;177.618465;0
2016-10-18 01:32:42;177.479605;0
2016-10-18 01:36:44;177.482045;0
2016-10-18 01:40:44;177.623315;0
2016-10-18 01:44:43;177.47875;0
2016-10-18 01:48:41;177.689425;0
2016-10-18 01:52:44;177.58621;0
